Date,AAPL,ATVI,BAC,GE,GOOG,MSFT,NTDOY,ROKU,SPY,ACN,AMZN,COKE,DUK,FB,GM,GS,HMC,MO,NFLX,NKE,PEP,PFE,SNE,TGT,TM,TSLA,WIZD,WMT
2/25/2014,65.949753,18.71372,15.253495,21.383795,606.058167,33.395638,14.494353,,167.401733,74.306168,358.320007,72.562439,56.577568,69.849998,29.129108,152.764801,31.556953,28.781279,64.718575,35.670914,68.460785,26.673218,16.818499,47.781586,97.893471,248,0.415,64.423004
2/26/2014,65.354752,18.694489,15.244163,21.40918,606.142639,33.33337,14.842821,,167.410782,74.297241,359.799988,72.398346,56.458084,69.260002,29.718143,152.642883,31.400221,28.676085,64.112854,35.812485,67.95961,26.756863,16.915827,51.146839,97.145424,253,0.415,65.67897
2/27/2014,66.658447,18.800268,15.393518,21.578424,605.66571,33.680309,14.409592,,168.289276,74.261627,360.130005,72.938911,56.099655,68.940002,29.669733,155.061935,31.722403,29.024025,64.604286,35.849239,68.322517,26.957598,17.052088,51.290585,97.515228,252.539993,0.415,65.485741
2/28/2014,66.477783,18.607941,15.43086,21.553036,603.897217,34.080639,14.50377,,168.71492,74.252716,362.100006,73.016129,56.458084,68.459999,29.209787,156.065186,31.391508,29.339588,63.66143,35.977898,69.186615,26.857235,17.081284,52.880211,96.91008,244.809998,0.4,65.608711
3/3/2014,66.669823,18.771421,15.216152,21.256868,597.459106,33.609142,14.315411,,167.528534,73.495499,359.779999,77.186272,55.796978,67.410004,29.217865,154.461914,31.696289,29.493322,63.655716,35.559765,68.711365,26.748499,16.750362,52.38979,95.481224,250.559998,0.34,65.099297
3/4/2014,67.109421,18.954132,15.617561,21.705355,603.529602,34.16959,14.654459,,169.88324,74.813965,363.899994,81.414337,55.85273,68.800003,29.798826,158.202957,32.157795,29.994991,64.997147,36.124943,69.860588,27.342354,16.89636,51.857101,96.834427,254.839996,0.37,65.986389
3/5/2014,67.250908,19.271481,16.112616,21.942293,605.193787,33.902721,14.390755,,170.037186,74.929771,372.369995,82.495491,55.844757,71.57,30.274912,161.175201,32.149097,29.897896,64.785713,35.573544,70.580666,27.392536,17.013155,51.239857,95.19545,252.660004,0.355,65.696541
3/6/2014,67.047539,19.396494,16.206024,22.1877,605.864441,33.938305,14.409592,,170.42662,74.65361,372.160004,83.103638,55.781044,70.839996,30.291039,161.831512,32.479984,29.849342,64.358574,35.941143,70.772102,27.149975,17.383007,51.358231,96.363754,252.940002,0.36,65.766792
3/7/2014,67.008354,19.338799,16.187342,22.111538,603.470032,33.715904,14.343665,,170.4991,74.769417,372.059998,83.566994,55.804924,69.800003,30.412079,163.387939,32.323235,29.784622,64.052856,36.510918,70.972229,27.124886,17.470602,51.366692,95.783798,246.210007,0.365,65.925919
3/10/2014,67.068993,19.511892,16.31811,22.035383,601.870422,33.644733,14.004615,,170.408493,74.867416,370.529999,84.310287,55.45446,72.029999,29.927933,162.684708,31.844313,29.825073,62.849998,36.290356,71.120171,27.091429,17.558203,51.713356,95.262672,238.839996,0.45,65.793335
3/11/2014,67.722099,19.300329,16.131294,21.91691,596.117798,33.822651,14.004615,,169.566254,74.430901,368.820007,84.13652,55.334969,70.099998,28.386757,159.290588,32.122959,29.744158,62.497143,36.207642,72.059982,27.116514,17.37327,51.52734,94.523041,234.410004,0.45,66.226463
3/12/2014,67.787781,19.810005,16.140642,21.798437,599.749207,34.045048,13.957523,,169.611542,73.718193,370.640015,84.570915,56.043888,70.879997,28.128546,159.131195,31.835617,29.629377,62.368572,36.285759,71.485657,26.748499,17.363543,51.662621,93.548065,241.490005,0.45,66.765686
3/13/2014,67.034889,20.050419,16.028555,21.443029,590.688171,33.707001,13.98578,,167.709656,73.130241,371.51001,84.55159,56.21117,68.830002,27.507238,156.299622,31.208649,29.490005,61.437141,36.083584,71.181114,26.029182,17.159145,50.504234,92.631912,237.789993,0.45,66.235313
3/14/2014,66.281975,20.194664,15.692284,21.248398,582.610657,33.537979,13.788001,,167.238724,72.497726,373.73999,85.352821,56.314705,67.720001,27.751453,155.033844,30.886467,29.793352,60.64143,35.987087,70.484917,26.121191,16.711433,50.191383,91.413185,230.970001,0.45,65.660713
3/17/2014,66.540955,20.61215,15.981848,21.519188,592.198303,33.849331,13.844508,,168.75116,74.288345,375.040009,85.430038,56.633308,68.739998,28.19105,156.430878,31.260893,29.826141,60.388573,36.290356,71.398621,26.280106,16.760098,50.453499,93.018539,233.979996,0.45,66.014328
3/18/2014,67.129631,20.485933,16.056572,21.705355,601.716431,35.183739,13.627893,,169.955658,74.644699,378.769989,85.391434,55.948307,69.190002,28.630636,157.602875,30.79068,29.998312,60.035713,36.593601,71.311615,26.706678,16.691965,50.495781,92.312531,240.039993,0.44,66.093872
3/19/2014,67.111969,20.427679,16.290091,21.392258,595.750244,34.93465,13.543133,,169.050003,73.611298,373.230011,85.478287,54.72961,68.239998,28.418989,157.687302,30.651348,29.531,60.012856,36.368462,70.806915,26.522667,16.691965,50.292847,91.345947,235.839996,0.435,65.749123
3/20/2014,66.788559,20.311171,16.73844,21.383795,594.711975,35.877625,13.40186,,170.037186,73.994362,368.970001,85.343155,55.096016,66.970001,28.703911,158.662399,30.477196,29.801546,60.610001,36.423599,71.233307,26.689949,17.139683,50.47887,90.446609,234.910004,0.451,66.633102
3/21/2014,67.315308,20.175247,16.402176,21.493803,587.697571,35.726387,13.298263,,169.377365,73.789482,360.619995,84.986,55.02433,67.239998,28.500391,156.534042,30.485901,29.883533,57.998573,34.558086,71.476959,26.915779,17.285675,50.267479,90.244888,228.889999,0.451,67.269539
3/24/2014,68.113724,19.893686,16.224709,21.502262,575.223694,36.028862,13.97636,,168.676895,73.050072,351.850006,83.991722,55.215492,64.099998,28.60622,155.380753,29.954731,30.080296,54.128571,34.397266,71.259407,26.338654,17.178614,50.27594,90.723961,220.169998,0.47,67.852974
3/25/2014,68.846397,19.990776,16.075253,21.747663,575.61615,35.886524,13.49604,,169.477402,74.404167,354.709991,84.85083,55.69342,64.889999,28.093359,153.06488,30.172426,30.26067,52.977142,33.84129,71.703194,26.614672,17.76259,49.937717,91.161041,220.440002,0.475,67.950195
3/26/2014,68.188232,19.990776,16.047232,21.67997,562.327576,35.39724,13.765109,,168.258484,73.9142,343.410004,83.441498,55.358879,60.389999,27.857286,151.639664,30.186327,30.539413,53.182858,33.643703,72.11219,26.915779,17.686054,50.056091,94.606697,212.960007,0.48,67.38446
3/27/2014,67.895157,19.660671,15.888442,21.840752,555.406067,35.014717,13.651112,,167.903732,70.199341,338.470001,82.727158,56.091686,60.970001,28.093359,152.164734,30.27396,30.52302,52.025715,33.689659,71.825027,26.848871,17.901621,50.512695,95.505432,207.320007,0.475,67.304901
3/28/2014,67.819397,19.854851,15.860423,21.899984,556.927734,35.850937,13.907605,,168.731522,70.208244,338.290009,82.292786,56.107613,60.009998,28.272455,152.174118,30.528067,30.432833,51.267143,33.790745,72.181793,26.664858,18.273958,50.715614,96.575356,212.369995,0.53,67.189987
3/31/2014,67.804207,19.845142,16.065916,21.908449,553.924255,36.464771,14.145099,,170.114197,71.018913,336.369995,82.03215,56.728905,60.240002,28.020096,153.627426,30.966179,30.686991,50.290001,33.937782,72.660393,26.865595,18.734482,51.163757,96.635269,208.449997,0.535,67.561249
4/1/2014,68.424469,20.087866,16.196682,21.891523,564.058533,36.847294,13.983603,,171.242111,70.858566,342.98999,82.061096,56.290817,62.619999,27.954973,155.568253,30.843513,30.654182,52.098572,34.181305,72.12088,26.723406,19.048031,51.214478,96.909172,216.970001,0.505,67.861786
4/2/2014,68.53817,20.175247,16.093937,22.035383,563.899353,36.785027,13.879106,,171.815216,71.259445,341.959991,80.362152,55.964245,62.720001,28.394566,156.834015,31.115143,30.809961,51.84,34.250221,71.990356,27.007786,18.901054,51.485062,97.097481,230.289993,0.51,68.22419
4/3/2014,68.063202,19.650961,16.019209,22.196159,566.62439,36.482552,13.670113,,171.587814,70.689301,333.619995,79.541641,56.115578,59.490002,28.850439,155.727646,31.185246,30.818169,50.669998,33.997513,72.147003,27.099792,18.705086,52.186855,96.601036,225.399994,0.525,68.471741
4/4/2014,67.182701,19.534454,15.617559,22.018454,540.169861,35.46841,13.537115,,169.559265,69.611366,323,76.404388,56.147438,56.75,28.337584,153.055466,30.878565,30.801765,48.187141,33.469086,71.86853,26.899054,18.646297,51.696445,95.231529,212.229996,0.525,68.339127
4/7/2014,66.127869,18.864536,15.299978,21.874598,535.207153,35.406139,13.565615,,167.68541,70.270599,317.76001,77.44693,56.665176,56.950001,27.76774,148.667465,30.17757,30.867357,48.285713,32.545528,73.017174,26.096092,18.665892,51.155293,95.342804,207.520004,0.5,68.339127
4/8/2014,66.124092,19.165514,15.356023,21.789978,551.86554,35.423935,13.337621,,168.37674,69.745003,327.070007,78.672852,57.756439,58.189999,28.109644,146.792221,29.58173,31.064119,49.841427,33.505859,72.634308,25.82008,18.518917,52.000843,93.382706,215.460007,0.511,69.108185
4/9/2014,66.993195,19.262604,15.524158,21.959223,561.054993,36.002178,13.280622,,170.186935,70.754753,331.809998,79.107246,57.206825,62.41,27.368843,148.29245,29.958513,31.269089,50.432858,33.799927,73.017174,26.121191,18.440533,51.755634,92.210091,216.929993,0.53,68.922554
4/10/2014,66.12915,18.815989,15.057126,21.646122,537.991821,35.014717,13.128627,,166.612015,69.267159,317.109985,78.624596,57.023624,59.16,27.108349,146.248413,29.196178,31.006735,47.818573,33.289909,72.764824,25.60261,17.784039,50.453499,88.495316,204.190002,0.5,67.967888
4/11/2014,65.640236,18.485888,14.730203,21.519188,527.698425,34.881275,12.843637,,165.111084,69.501564,311.730011,78.248108,57.222755,58.529999,25.993076,143.191803,29.564205,30.867357,46.672855,32.73851,72.355835,24.975302,18.009401,49.802433,89.779221,203.779999,0.51,67.623131
4/14/2014,65.901756,18.680063,14.945035,21.75613,529.60791,34.854584,12.824636,,166.411865,70.159721,315.910004,78.383247,57.405956,58.889999,26.497799,145.08577,29.96727,31.359255,47.368572,33.257725,72.703918,24.983667,18.215166,50.242119,91.859146,198.089996,0.505,68.401024
4/15/2014,65.431808,18.515011,15.309322,21.849213,533.50647,35.361652,12.65364,,167.55806,71.151436,316.079987,77.977829,57.995388,59.09,27.157192,145.254547,29.862129,31.326469,46.610001,33.211784,73.060692,25.000397,18.175972,50.292847,91.465424,193.910004,0.52,67.959015
4/16/2014,65.564453,18.883953,15.066464,22.103075,553.496582,35.939903,12.739139,,169.31369,71.322739,323.679993,78.257774,58.329937,59.720001,27.653769,147.411072,30.282721,31.449453,47.344284,33.588558,73.765518,25.167681,18.401339,50.656433,92.84346,199.110001,0.51,68.259575
4/17/2014,66.313568,19.116968,15.085149,22.475409,533.168335,35.592957,12.957633,,169.550186,71.133415,324.910004,77.910263,57.80423,58.939999,27.661905,147.617294,29.940987,31.523228,49.39143,34.015884,74.444283,25.301502,18.332745,50.732517,92.458313,198.119995,0.53,68.648537
4/21/2014,67.100571,19.116968,15.029101,22.500795,525.729248,35.530682,12.948132,,170.141434,71.86367,330.869995,78.431541,57.716602,61.240002,27.661905,147.954926,29.625546,31.498638,49.784286,33.95615,74.757545,25.811716,18.616899,50.529594,92.988976,204.380005,0.56,68.595505
4/22/2014,67.167534,19.320854,15.215917,22.492336,531.885437,35.575169,12.805634,,170.914658,71.800552,329.320007,78.228798,57.979454,63.029999,27.865421,150.448944,29.48535,31.679005,53.271427,34.162926,74.087509,25.928818,18.303354,51.003098,92.800674,218.639999,0.57,68.560127
4/23/2014,66.289574,19.058712,15.290639,22.356939,524.058472,35.308277,12.805634,,170.514404,71.322739,324.579987,78.479805,57.836086,61.360001,27.995672,150.43956,29.660591,31.408459,50.5,34.048054,74.322449,25.861898,18.283756,51.358231,92.569572,207.990005,0.57,68.984436
4/24/2014,71.724113,19.00046,15.262614,22.390791,522.288208,35.459515,12.701138,,170.860107,70.646561,337.149994,79.541641,58.19453,60.869999,27.816576,150.81456,29.511629,31.482243,49.152859,33.721806,74.418182,25.686251,17.784039,51.958565,91.619484,207.860001,0.57,69.223099
4/25/2014,72.250885,18.893661,14.898333,22.509254,513.3573,35.503998,12.368649,,169.459213,70.709679,303.829987,79.551308,58.943272,57.709999,27.450247,148.367447,28.942074,32.064339,46.011429,33.40477,74.183235,25.719709,17.509684,51.797905,91.148712,199.850006,0.618,69.497147
4/28/2014,75.049004,18.767445,13.964269,22.661579,514.32196,36.358013,12.416146,,169.995926,71.286667,296.579987,80.091858,59.580505,56.139999,27.482819,146.773483,28.635397,32.736618,44.887142,32.931492,75.549416,26.798685,17.58807,52.575809,91.645164,198.509995,0.59,70.504868
4/29/2014,74.826683,19.116968,14.235147,22.644655,524.81427,36.037754,12.425646,,170.787308,71.836624,300.380005,80.449028,59.365417,58.150002,27.670052,148.367447,28.731785,32.892376,45.695713,33.303684,74.627022,26.564487,17.597872,52.398239,92.013214,206.919998,0.58,70.425278
4/30/2014,74.543709,19.427654,14.141738,22.754656,523.779968,35.939903,12.425646,,171.296707,72.323463,304.130005,79.616379,59.333557,59.779999,28.068943,149.848831,29.178663,32.884186,46.005714,33.519642,74.740135,26.163012,17.284323,52.212231,92.800674,207.889999,0.6,70.46064
5/1/2014,74.719299,19.388817,14.095035,22.653114,528.444336,35.584057,12.634641,,171.314911,71.980873,307.890015,79.529221,59.405251,61.150002,28.410851,150.364517,29.502869,32.654636,48.074287,33.505859,74.461693,26.05427,16.814003,52.20377,93.921959,207.729996,0.59,70.451797
