"AMD.Adjusted","AMZN.Adjusted","NKE.Adjusted","VALE.Adjusted","NOK.Adjusted","AAL.Adjusted","CCL.Adjusted","TGT.Adjusted","DQ.Adjusted","BAC.Adjusted","IWS.Adjusted","IWN.Adjusted"
18.83,1539.130005,72.050293,10.682351,5.621394,31.963158,47.317493,61.989273,4.81,23.318459,71.740807,102.442657
17.049999,1500.280029,70.775864,10.174799,5.454907,29.581665,44.963486,61.140236,4.66,22.944765,70.921402,101.289711
19,1575.390015,72.62429,11.118527,5.807468,31.530161,47.507332,61.979946,4.948,23.897684,72.96524,104.720222
20.57,1629.51001,73.66526,10.967847,5.895608,32.425678,48.067356,65.012222,5.312,23.879,73.643364,105.863716
20.75,1656.579956,74.647842,11.150249,6.022923,31.90411,49.263351,64.946907,5.21,23.832289,74.528694,107.508087
20.190001,1659.420044,74.511635,11.507119,6.081682,32.888191,49.348778,65.581375,5.164,24.065847,75.046722,108.330276
19.74,1656.219971,74.346252,11.419884,6.013129,31.530161,49.633537,63.715336,5.372,24.037821,75.621246,108.717735
20.27,1640.560059,73.976585,11.1899,5.954369,31.293978,49.737946,64.946907,5.296,24.31809,75.696587,108.802803
20.23,1617.209961,74.025208,11.205761,5.895608,31.205408,49.548107,64.228493,5.158,24.635729,75.225677,108.01841
20.379999,1674.560059,75.76664,11.150249,5.924989,31.589199,50.231529,63.640701,5.162,24.80389,75.715431,108.60434
19.73,1683.780029,75.572075,11.1899,5.827055,32.317429,50.051182,63.304817,5.416,26.578934,76.167511,109.577736
20.25,1693.219971,76.982719,11.475398,5.856435,33.04565,50.820034,64.723,5.61,27.08342,76.84565,110.399918
20.77,1696.199951,78.266899,11.586424,5.983749,33.429447,52.091961,65.945236,5.866,27.373034,77.796928,111.439461
19.76,1632.170044,78.558754,11.459537,5.846642,32.219025,51.75024,65.572029,6.056,27.176846,76.789131,109.870705
19.799999,1640.02002,78.315544,11.697451,5.924989,31.146364,51.512951,65.60936,6.236,27.018026,76.751472,109.728943
20.85,1654.930054,78.257179,11.784687,6.032716,33.124378,52.224846,65.879929,6.632,27.167503,77.165886,110.352654
21.93,1670.569946,78.422562,10.83303,6.463624,34.423378,52.689949,67.540688,6.908,27.634615,77.900513,111.571777
20.18,1637.890015,78.140427,8.882132,6.355897,35.988075,53.534737,67.288765,6.938,27.68133,77.834587,111.269363
