"AMD","AMZN","NKE","VALE","NOK","AAL","CCL","TGT","DQ","BAC","IWN","AMD*","AMZN*","NKE*","VALE*","NOK*","AAL*","CCL*","TGT*","DQ*","BAC*"
18.83,1539.130005,72.050293,10.682351,5.621394,31.963158,47.317493,61.989273,4.81,23.318459,102.442657,354.5689,2368921.1722913,5191.24472138585,114.112622887201,31.600070503236,1021.64346933296,2238.94514380505,3842.66996706853,23.1361,543.750530134681
17.049999,1500.280029,70.775864,10.174799,5.454907,29.581665,44.963486,61.140236,4.66,22.944765,101.289711,290.702465900001,2250840.16541624,5009.2229249465,103.526534690401,29.756010378649,875.074904172225,2021.7150732722,3738.1284581357,21.7156,526.462240905225
19,1575.390015,72.62429,11.118527,5.807468,31.530161,47.507332,61.979946,4.948,23.897684,104.720222,361,2481853.6993617,5274.2874980041,123.621642649729,33.726684571024,994.151052685921,2256.94659375822,3841.51370616292,24.482704,571.099300563856
20.57,1629.51001,73.66526,10.967847,5.895608,32.425678,48.067356,65.012222,5.312,23.879,105.863716,423.1249,2655302.8726902,5426.5705308676,120.293667815409,34.758193689664,1051.42459375968,2310.47071283074,4226.58900937728,28.217344,570.206641
20.75,1656.579956,74.647842,11.150249,6.022923,31.90411,49.263351,64.946907,5.21,23.832289,107.508087,430.5625,2744257.15062096,5572.30031525696,124.328052762001,36.275601463929,1017.8722348921,2426.8777517492,4218.10072886665,27.1441,567.977998979521
20.190001,1659.420044,74.511635,11.507119,6.081682,32.888191,49.348778,65.581375,5.164,24.065847,108.330276,407.636140380001,2753674.88242896,5551.98375037323,132.413787680161,36.986855949124,1081.63310725248,2435.30189009328,4300.91674689062,26.666896,579.164991827409
19.74,1656.219971,74.346252,11.419884,6.013129,31.530161,49.633537,63.715336,5.372,24.037821,108.717735,389.6676,2743064.59233924,5527.3651864475,130.413750573456,36.157720370641,994.151052685921,2463.48799513037,4059.6440415929,28.858384,577.816838428041
20.27,1640.560059,73.976585,11.1899,5.954369,31.293978,49.737946,64.946907,5.296,24.31809,108.802803,410.8729,2691437.30718608,5472.53512826223,125.21386201,35.454510188161,979.313059064484,2473.86327229892,4218.10072886665,28.047616,591.3695012481
20.23,1617.209961,74.025208,11.205761,5.895608,31.205408,49.548107,64.228493,5.158,24.635729,108.01841,409.2529,2615368.05795762,5479.73141944326,125.569079589121,34.758193689664,973.777488446464,2455.01490728345,4125.29931305105,26.604964,606.919143361441
20.379999,1674.560059,75.76664,11.150249,5.924989,31.589199,50.231529,63.640701,5.162,24.80389,108.60434,415.344359240001,2804151.39119808,5740.5837368896,124.328052762001,35.105494650121,997.877493461601,2523.20650567784,4050.1388237714,26.646244,615.2329591321
19.73,1683.780029,75.572075,11.1899,5.827055,32.317429,50.051182,63.304817,5.416,26.578934,109.577736,389.2729,2835115.18605924,5711.13851980563,125.21386201,33.954569973025,1044.41621717004,2505.12081959712,4007.49985540349,29.333056,706.439732576356
